iter	Passed	Remaining
0	1	133
1	2	127
2	3	126
3	5	120
4	6	117
5	7	114
6	8	113
7	9	112
8	10	110
9	12	109
10	13	108
11	14	107
12	15	106
13	17	104
14	18	104
15	19	103
16	20	101
17	22	100
18	23	99
19	24	98
20	25	97
21	27	96
22	28	95
23	29	94
24	31	93
25	32	91
26	33	90
27	34	89
28	36	88
29	37	87
30	38	86
31	39	84
32	41	83
33	42	82
34	43	81
35	45	80
36	46	78
37	47	78
38	49	77
39	50	76
40	52	75
41	52	72
42	54	71
43	55	70
44	56	69
45	58	68
46	59	66
47	60	65
48	61	64
49	62	62
50	64	61
51	65	60
52	66	59
53	68	58
54	69	56
55	70	55
56	71	54
57	72	52
58	74	51
59	75	50
60	76	49
61	78	48
62	79	46
63	81	45
64	82	44
65	84	43
66	85	42
67	86	40
68	88	39
69	89	38
70	91	37
71	92	35
72	93	34
73	95	33
74	96	32
75	98	30
76	99	29
77	100	28
78	102	27
79	103	25
80	104	24
81	106	23
82	107	22
83	108	20
84	110	19
85	111	18
86	113	16
87	114	15
88	115	14
89	117	13
90	118	11
91	120	10
92	121	9
93	122	7
94	124	6
95	125	5
96	126	3
97	128	2
98	129	1
99	130	0
