iter	Passed	Remaining
0	1	1404
1	2	1277
2	3	1215
3	4	1200
4	5	1170
5	6	1158
6	8	1143
7	9	1128
8	10	1113
9	11	1106
10	12	1096
11	13	1106
12	14	1114
13	15	1120
14	17	1119
15	18	1112
16	19	1107
17	20	1104
18	21	1101
19	22	1098
20	23	1096
21	24	1093
22	25	1093
23	26	1088
24	27	1085
25	28	1081
26	29	1075
27	30	1074
28	32	1073
29	33	1072
30	34	1072
31	35	1069
32	36	1067
33	37	1064
34	38	1061
35	39	1058
36	40	1056
37	41	1054
38	42	1052
39	43	1049
40	44	1047
41	45	1046
42	47	1046
43	48	1044
44	49	1044
45	50	1043
46	51	1040
47	52	1037
48	53	1036
49	54	1035
50	55	1033
51	56	1032
52	57	1031
53	58	1029
54	59	1027
55	60	1026
56	61	1024
57	63	1025
58	64	1025
59	65	1023
60	66	1023
61	67	1022
62	68	1021
63	69	1020
64	71	1021
65	72	1021
66	73	1019
67	74	1017
68	75	1016
69	76	1016
70	77	1013
71	78	1012
72	79	1009
73	80	1006
74	81	1003
75	82	1001
76	83	998
77	84	996
78	85	994
79	86	992
80	87	990
81	88	988
82	88	980
83	89	979
84	91	979
85	92	980
86	93	979
87	94	979
88	95	978
89	96	978
90	97	977
91	98	976
92	99	974
93	100	972
94	101	969
95	102	967
96	103	966
97	104	965
98	105	963
99	106	962
100	107	960
101	108	958
102	109	955
103	110	954
104	111	952
105	112	951
106	114	951
107	115	950
108	116	950
109	117	949
110	118	949
111	119	948
112	120	948
113	121	947
114	123	946
115	124	945
116	124	942
117	125	941
118	126	939
119	128	939
120	129	939
121	130	936
122	131	935
123	132	934
124	133	933
125	134	933
126	135	930
127	136	929
128	137	929
129	138	927
130	139	926
131	140	925
132	141	924
133	142	923
134	143	921
135	144	920
136	146	919
137	147	919
138	148	918
139	149	917
140	150	916
141	151	913
142	152	911
143	153	910
144	154	910
145	155	909
146	156	908
147	157	906
148	158	906
149	159	905
150	160	905
151	161	903
152	162	902
153	164	901
154	165	900
155	166	900
156	167	899
157	168	900
158	170	900
159	171	898
160	172	896
161	173	895
162	174	894
163	175	894
164	176	893
165	177	893
166	178	892
167	180	891
168	181	891
169	182	890
170	183	891
171	185	890
172	186	891
173	187	891
174	189	891
175	190	890
176	191	889
177	192	888
178	193	887
179	194	886
180	196	888
181	197	887
182	198	885
183	199	884
184	200	883
185	201	882
186	202	881
187	204	881
188	205	880
189	206	879
190	207	878
191	208	878
192	209	877
193	211	876
194	212	876
195	213	875
196	214	874
197	215	873
198	216	872
199	217	871
200	219	870
201	220	869
202	221	868
203	222	867
204	223	866
205	224	865
206	225	865
207	226	864
208	228	863
209	229	862
210	230	861
211	231	860
212	232	859
213	233	858
214	234	857
215	235	856
216	237	855
217	238	854
218	239	853
219	240	853
220	241	852
221	242	851
222	243	850
223	245	849
224	246	848
225	247	847
226	248	846
227	249	845
228	250	844
229	251	843
230	253	844
231	254	843
232	256	842
233	257	841
234	258	840
235	259	838
236	260	837
237	261	836
238	262	834
239	263	833
240	264	833
241	265	832
242	266	831
243	267	830
244	268	828
245	270	827
246	271	826
247	272	825
248	273	824
249	274	823
250	275	822
251	276	821
252	277	820
253	279	819
254	280	818
255	281	817
256	282	816
257	283	815
258	284	814
259	285	813
260	286	812
261	288	811
262	289	810
